Year,State,Tobacco Use,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group),Disparity Value
2011,Alabama,Cigarette Use among Adults,Age,Age 18-24,30.3,Age 25-44,28.1,1.1
2011,Alabama,Cigarette Use among Adults,Age,Age 18-24,30.3,Age 45-64,26.0,1.2
2011,Alabama,Cigarette Use among Adults,Age,Age 18-24,30.3,Age 65 or older,10.2,3.0
2011,Alabama,Cigarette Use among Adults,Age,Age 25-44,28.1,Age 18-24,30.3,0.9
2011,Alabama,Cigarette Use among Adults,Age,Age 25-44,28.1,Age 45-64,26.0,1.1
2011,Alabama,Cigarette Use among Adults,Age,Age 25-44,28.1,Age 65 or older,10.2,2.8
2011,Alabama,Cigarette Use among Adults,Age,Age 45-64,26.0,Age 18-24,30.3,0.9
2011,Alabama,Cigarette Use among Adults,Age,Age 45-64,26.0,Age 25-44,28.1,0.9
2011,Alabama,Cigarette Use among Adults,Age,Age 45-64,26.0,Age 65 or older,10.2,2.5
2011,Alabama,Cigarette Use among Adults,Age,Age 65 or older,10.2,Age 18-24,30.3,0.3
2011,Alabama,Cigarette Use among Adults,Age,Age 65 or older,10.2,Age 25-44,28.1,0.4
2011,Alabama,Cigarette Use among Adults,Age,Age 65 or older,10.2,Age 45-64,26.0,0.4
2011,Alaska,Cigarette Use among Adults,Age,Age 18-24,21.8,Age 25-44,26.3,0.8
2011,Alaska,Cigarette Use among Adults,Age,Age 18-24,21.8,Age 45-64,23.1,0.9
2011,Alaska,Cigarette Use among Adults,Age,Age 18-24,21.8,Age 65 or older,12.4,1.8
2011,Alaska,Cigarette Use among Adults,Age,Age 25-44,26.3,Age 18-24,21.8,1.2
2011,Alaska,Cigarette Use among Adults,Age,Age 25-44,26.3,Age 45-64,23.1,1.1
2011,Alaska,Cigarette Use among Adults,Age,Age 25-44,26.3,Age 65 or older,12.4,2.1
2011,Alaska,Cigarette Use among Adults,Age,Age 45-64,23.1,Age 18-24,21.8,1.1
2011,Alaska,Cigarette Use among Adults,Age,Age 45-64,23.1,Age 25-44,26.3,0.9
2011,Alaska,Cigarette Use among Adults,Age,Age 45-64,23.1,Age 65 or older,12.4,1.9
2011,Alaska,Cigarette Use among Adults,Age,Age 65 or older,12.4,Age 18-24,21.8,0.6
