Year,State,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group)
2011,0,0,1,30.3
2011,0,0,2,28.1
2011,0,0,3,26.0
2011,0,0,4,10.2
2011,1,0,1,21.8
2011,1,0,2,26.3
2011,1,0,3,23.1
2011,1,0,4,12.4
2011,2,0,1,19.2
2011,2,0,2,23.2
2011,2,0,3,20.6
2011,2,0,4,9.0
2011,3,0,1,27.1
2011,3,0,2,33.0
2011,3,0,3,29.6
2011,3,0,4,11.6
2011,4,0,1,13.4
2011,4,0,2,16.4
2011,4,0,3,13.7
2011,4,0,4,6.9
2011,5,0,1,21.6
2011,5,0,2,21.8
2011,5,0,3,17.3
2011,5,0,4,8.8
2011,6,0,1,19.4
2011,6,0,2,21.5
2011,6,0,3,16.8
2011,6,0,4,8.5
2011,7,0,1,19.2
2011,7,0,2,30.6
2011,7,0,3,21.2
2011,7,0,4,8.9
2011,8,0,1,16.1
2011,8,0,2,23.0
2011,8,0,3,24.8
2011,8,0,4,11.0
2011,9,0,1,20.1
2011,9,0,2,22.9
2011,9,0,3,23.2
2011,9,0,4,7.9
2011,10,0,1,25.0
2011,10,0,2,23.5
2011,10,0,3,21.6
2011,10,0,4,10.8
2011,11,0,1,23.2
2011,11,0,2,20.6
2011,11,0,3,16.5
2011,11,0,4,6.6
2011,12,0,1,18.2
2011,12,0,2,20.9
2011,12,0,3,17.3
2011,12,0,4,8.4
2011,13,0,1,25.2
2011,13,0,2,24.1
2011,13,0,3,22.5
2011,13,0,4,7.6
2011,14,0,1,29.0
2011,14,0,2,30.9
2011,14,0,3,26.3
2011,14,0,4,11.5
2011,15,0,1,27.1
2011,15,0,2,25.8
2011,15,0,3,20.3
2011,15,0,4,7.1
2011,16,0,1,24.5
2011,16,0,2,27.2
2011,16,0,3,22.4
2011,16,0,4,9.5
2011,17,0,1,31.1
2011,17,0,2,37.3
2011,17,0,3,29.5
2011,17,0,4,10.4
2011,18,0,1,22.8
2011,18,0,2,33.1
2011,18,0,3,26.1
2011,18,0,4,12.1
2011,19,0,1,29.2
2011,19,0,2,32.8
2011,19,0,3,20.9
2011,19,0,4,7.9
2011,20,0,1,23.0
2011,20,0,2,21.8
2011,20,0,3,19.7
2011,20,0,4,9.2
2011,21,0,1,22.6
2011,21,0,2,23.2
2011,21,0,3,16.6
2011,21,0,4,9.0
2011,22,0,1,24.3
2011,22,0,2,29.5
2011,22,0,3,24.1
2011,22,0,4,9.9
2011,23,0,1,24.7
2011,23,0,2,22.6
2011,23,0,3,18.7
2011,23,0,4,8.6
2011,24,0,1,29.0
2011,24,0,2,31.8
2011,24,0,3,27.1
2011,24,0,4,10.0
2011,25,0,1,25.8
2011,25,0,2,31.9
2011,25,0,3,25.9
2011,25,0,4,10.1
2011,26,0,1,24.4
2011,26,0,2,25.6
2011,26,0,3,24.2
2011,26,0,4,11.0
2011,27,0,1,22.5
2011,27,0,2,25.4
2011,27,0,3,19.7
2011,27,0,4,8.6
2011,28,0,1,17.4
2011,28,0,2,26.8
2011,28,0,3,24.8
2011,28,0,4,13.5
2011,29,0,1,21.7
2011,29,0,2,27.3
2011,29,0,3,17.9
2011,29,0,4,7.3
2011,30,0,1,20.0
2011,30,0,2,19.0
2011,30,0,3,17.7
2011,30,0,4,8.9
2011,31,0,1,21.4
2011,31,0,2,27.5
2011,31,0,3,21.4
2011,31,0,4,9.8
2011,32,0,1,21.6
2011,32,0,2,20.8
2011,32,0,3,19.3
2011,32,0,4,8.3
2011,33,0,1,24.0
2011,33,0,2,25.6
2011,33,0,3,23.4
2011,33,0,4,9.2
2011,34,0,1,29.1
2011,34,0,2,26.8
2011,34,0,3,21.3
2011,34,0,4,8.6
2011,35,0,1,30.5
2011,35,0,2,30.3
2011,35,0,3,26.3
2011,35,0,4,9.7
2011,36,0,1,26.1
2011,36,0,2,31.5
2011,36,0,3,28.6
2011,36,0,4,11.7
2011,37,0,1,22.6
2011,37,0,2,24.8
2011,37,0,3,19.2
2011,37,0,4,9.6
2011,38,0,1,27.8
2011,38,0,2,27.6
2011,38,0,3,23.5
2011,38,0,4,9.1
2011,39,0,1,18.1
2011,39,0,2,26.2
2011,39,0,3,20.7
2011,39,0,4,9.3
2011,40,0,1,27.1
2011,40,0,2,29.2
2011,40,0,3,23.2
2011,40,0,4,9.0
2011,41,0,1,34.4
2011,41,0,2,28.5
2011,41,0,3,21.0
2011,41,0,4,9.5
2011,42,0,1,26.6
2011,42,0,2,26.9
2011,42,0,3,24.1
2011,42,0,4,10.9
2011,43,0,1,20.7
2011,43,0,2,21.9
2011,43,0,3,20.0
2011,43,0,4,8.8
2011,44,0,1,11.1
2011,44,0,2,14.5
2011,44,0,3,11.8
2011,44,0,4,4.7
2011,45,0,1,23.9
2011,45,0,2,26.8
2011,45,0,3,17.9
2011,45,0,4,6.1
2011,46,0,1,26.1
2011,46,0,2,24.6
2011,46,0,3,21.0
2011,46,0,4,8.9
2011,47,0,1,15.8
2011,47,0,2,22.7
2011,47,0,3,17.5
2011,47,0,4,7.5
2011,48,0,1,38.5
2011,48,0,2,38.0
2011,48,0,3,27.4
2011,48,0,4,10.9
2011,49,0,1,23.0
2011,49,0,2,26.4
2011,49,0,3,20.7
2011,49,0,4,9.7
2011,50,0,1,25.4
2011,50,0,2,27.2
2011,50,0,3,23.5
2011,50,0,4,11.8
2012,0,0,1,27.5
2012,0,0,2,28.9
2012,0,0,3,25.2
2012,0,0,4,9.7
2012,1,0,1,24.0
2012,1,0,2,21.2
2012,1,0,3,21.5
2012,1,0,4,11.6
2012,2,0,1,18.9
2012,2,0,2,19.0
2012,2,0,3,18.9
2012,2,0,4,9.5
2012,3,0,1,27.3
2012,3,0,2,30.5
2012,3,0,3,27.7
2012,3,0,4,10.2
2012,4,0,1,11.9
2012,4,0,2,15.0
2012,4,0,3,13.4
2012,4,0,4,5.9
2012,5,0,1,16.8
2012,5,0,2,21.3
