Year,State,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group)
2011,Alabama,Age,Age 18-24,30.3
2011,Alabama,Age,Age 25-44,28.1
2011,Alabama,Age,Age 45-64,26.0
2011,Alabama,Age,Age 65 or older,10.2
2011,Alaska,Age,Age 18-24,21.8
2011,Alaska,Age,Age 25-44,26.3
2011,Alaska,Age,Age 45-64,23.1
2011,Alaska,Age,Age 65 or older,12.4
2011,Arizona,Age,Age 18-24,19.2
2011,Arizona,Age,Age 25-44,23.2
2011,Arizona,Age,Age 45-64,20.6
2011,Arizona,Age,Age 65 or older,9.0
2011,Arkansas,Age,Age 18-24,27.1
2011,Arkansas,Age,Age 25-44,33.0
2011,Arkansas,Age,Age 45-64,29.6
2011,Arkansas,Age,Age 65 or older,11.6
2011,California,Age,Age 18-24,13.4
2011,California,Age,Age 25-44,16.4
2011,California,Age,Age 45-64,13.7
2011,California,Age,Age 65 or older,6.9
2011,Colorado,Age,Age 18-24,21.6
2011,Colorado,Age,Age 25-44,21.8
2011,Colorado,Age,Age 45-64,17.3
2011,Colorado,Age,Age 65 or older,8.8
2011,Connecticut,Age,Age 18-24,19.4
2011,Connecticut,Age,Age 25-44,21.5
2011,Connecticut,Age,Age 45-64,16.8
2011,Connecticut,Age,Age 65 or older,8.5
2011,Delaware,Age,Age 18-24,19.2
2011,Delaware,Age,Age 25-44,30.6
2011,Delaware,Age,Age 45-64,21.2
2011,Delaware,Age,Age 65 or older,8.9
2011,District of Columbia,Age,Age 18-24,16.1
2011,District of Columbia,Age,Age 25-44,23.0
2011,District of Columbia,Age,Age 45-64,24.8
2011,District of Columbia,Age,Age 65 or older,11.0
2011,Florida,Age,Age 18-24,20.1
2011,Florida,Age,Age 25-44,22.9
2011,Florida,Age,Age 45-64,23.2
2011,Florida,Age,Age 65 or older,7.9
2011,Georgia,Age,Age 18-24,25.0
2011,Georgia,Age,Age 25-44,23.5
2011,Georgia,Age,Age 45-64,21.6
2011,Georgia,Age,Age 65 or older,10.8
2011,Hawaii,Age,Age 18-24,23.2
2011,Hawaii,Age,Age 25-44,20.6
2011,Hawaii,Age,Age 45-64,16.5
2011,Hawaii,Age,Age 65 or older,6.6
2011,Idaho,Age,Age 18-24,18.2
2011,Idaho,Age,Age 25-44,20.9
2011,Idaho,Age,Age 45-64,17.3
2011,Idaho,Age,Age 65 or older,8.4
2011,Illinois,Age,Age 18-24,25.2
2011,Illinois,Age,Age 25-44,24.1
2011,Illinois,Age,Age 45-64,22.5
2011,Illinois,Age,Age 65 or older,7.6
2011,Indiana,Age,Age 18-24,29.0
2011,Indiana,Age,Age 25-44,30.9
2011,Indiana,Age,Age 45-64,26.3
2011,Indiana,Age,Age 65 or older,11.5
2011,Iowa,Age,Age 18-24,27.1
2011,Iowa,Age,Age 25-44,25.8
2011,Iowa,Age,Age 45-64,20.3
2011,Iowa,Age,Age 65 or older,7.1
2011,Kansas,Age,Age 18-24,24.5
2011,Kansas,Age,Age 25-44,27.2
2011,Kansas,Age,Age 45-64,22.4
2011,Kansas,Age,Age 65 or older,9.5
2011,Kentucky,Age,Age 18-24,31.1
2011,Kentucky,Age,Age 25-44,37.3
2011,Kentucky,Age,Age 45-64,29.5
2011,Kentucky,Age,Age 65 or older,10.4
2011,Louisiana,Age,Age 18-24,22.8
2011,Louisiana,Age,Age 25-44,33.1
2011,Louisiana,Age,Age 45-64,26.1
2011,Louisiana,Age,Age 65 or older,12.1
2011,Maine,Age,Age 18-24,29.2
2011,Maine,Age,Age 25-44,32.8
2011,Maine,Age,Age 45-64,20.9
2011,Maine,Age,Age 65 or older,7.9
2011,Maryland,Age,Age 18-24,23.0
2011,Maryland,Age,Age 25-44,21.8
2011,Maryland,Age,Age 45-64,19.7
2011,Maryland,Age,Age 65 or older,9.2
2011,Massachusetts,Age,Age 18-24,22.6
2011,Massachusetts,Age,Age 25-44,23.2
2011,Massachusetts,Age,Age 45-64,16.6
2011,Massachusetts,Age,Age 65 or older,9.0
2011,Michigan,Age,Age 18-24,24.3
2011,Michigan,Age,Age 25-44,29.5
2011,Michigan,Age,Age 45-64,24.1
2011,Michigan,Age,Age 65 or older,9.9
2011,Minnesota,Age,Age 18-24,24.7
2011,Minnesota,Age,Age 25-44,22.6
2011,Minnesota,Age,Age 45-64,18.7
2011,Minnesota,Age,Age 65 or older,8.6
2011,Mississippi,Age,Age 18-24,29.0
2011,Mississippi,Age,Age 25-44,31.8
2011,Mississippi,Age,Age 45-64,27.1
2011,Mississippi,Age,Age 65 or older,10.0
2011,Missouri,Age,Age 18-24,25.8
2011,Missouri,Age,Age 25-44,31.9
2011,Missouri,Age,Age 45-64,25.9
2011,Missouri,Age,Age 65 or older,10.1
2011,Montana,Age,Age 18-24,24.4
2011,Montana,Age,Age 25-44,25.6
2011,Montana,Age,Age 45-64,24.2
2011,Montana,Age,Age 65 or older,11.0
2011,Nebraska,Age,Age 18-24,22.5
2011,Nebraska,Age,Age 25-44,25.4
2011,Nebraska,Age,Age 45-64,19.7
2011,Nebraska,Age,Age 65 or older,8.6
2011,Nevada,Age,Age 18-24,17.4
2011,Nevada,Age,Age 25-44,26.8
2011,Nevada,Age,Age 45-64,24.8
2011,Nevada,Age,Age 65 or older,13.5
2011,New Hampshire,Age,Age 18-24,21.7
2011,New Hampshire,Age,Age 25-44,27.3
2011,New Hampshire,Age,Age 45-64,17.9
2011,New Hampshire,Age,Age 65 or older,7.3
2011,New Jersey,Age,Age 18-24,20.0
2011,New Jersey,Age,Age 25-44,19.0
